profile1,profile2,profile3,profile4,profile5,profile6,profile7,profile8,profile9,profile10,profile11,profile12,profile13,profile14,profile15,profile16,profile17,profile18,profile19,profile20,profile21,profile22,profile23,profile24,profile25
-5450,-1650,-4200,-6950,-3850,-2900,-4650,-2500,-4000,-3450,-3950,-1300,-3750,-2850,-4250,-4700,-4000,-4850,-4050,-4050,-4150,-4450,-4800,-4000,-3700
-5450,-1650,-4200,-6950,-4050,-5800,-4650,-2500,-4000,-3450,-3900,-1300,-3750,-2800,-4250,-4700,-4050,-4850,-4050,-4050,-4150,-4450,-4850,-4050,-3650
-5050,-1650,-4250,-6700,-4050,-5800,-5150,-2550,-3950,-3400,-3900,-1750,-3750,-2800,-4300,-4750,-4050,-4900,-4050,-4050,-4150,-4450,-4850,-4050,-3650
-5050,-1650,-4250,-6700,-4100,-6600,-5150,-2550,-3950,-3400,-3900,-1750,-3750,-2750,-4300,-4750,-5550,-4900,-4050,-4050,-4200,-4500,-4900,-4100,-3600
-5050,-1700,-4300,-6900,-4100,-6600,-5100,-2600,-3900,-3550,-3900,-1700,-3750,-2750,-4350,-4800,-5550,-4900,-4050,-4100,-4200,-4500,-4900,-4100,-3600
-5050,-1700,-4300,-6900,-3550,-6550,-5100,-2600,-3900,-3550,-3900,-1700,-3650,-2700,-4350,-4800,-4350,-4900,-4100,-4100,-4200,-4500,-4950,-4150,-4100
-5050,-1700,-5400,-7250,-3550,-6550,-5050,-1950,-3850,-3600,-3900,-1650,-3650,-2700,-4400,-4850,-4350,-4900,-4100,-4100,-3650,-4500,-4950,-4150,-4100
-5050,-1700,-5350,-7250,-4350,-6850,-5050,-1950,-3850,-3600,-3900,-1650,-3650,-2650,-4400,-4850,-4300,-4900,-4100,-4100,-3650,-4500,-5000,-4200,-4200
-5050,-1600,-5200,-7150,-4350,-6850,-5000,-2000,-3800,-3800,-4000,-1600,-3650,-2650,-4450,-4900,-4300,-4950,-4100,-4100,-3650,-4300,-5000,-4200,-4200
-5100,-1600,-5200,-7150,-4300,-6800,-5000,-2000,-3800,-3800,-4000,-1600,-3700,-2600,-4450,-4900,-4250,-4950,-4100,-4150,-3650,-4300,-4650,-4250,-4200
-5100,-1600,-5150,-7300,-4300,-6800,-4150,-2050,-3750,-3550,-4000,-1550,-3700,-2600,-4500,-3600,-4250,-4950,-4150,-4150,-3700,-4300,-4650,-4250,-4200
-5100,-1600,-5150,-7300,-4250,-6750,-4150,-2050,-3750,-3550,-3200,-1550,-3700,-5300,-4500,-3600,-4200,-4950,-4150,-4150,-3700,-4250,-4550,-4550,-4150
-5100,-1750,-5100,-7350,-4250,-6750,-4150,-2100,-3700,-3350,-3200,-1500,-3700,-5300,-4550,-3650,-4200,-4950,-4150,-4150,-3700,-4250,-4550,-4550,-4150
-5100,-1750,-5100,-7350,-3500,-6900,-4150,-2100,-3700,-3350,-3250,-1500,-3850,-4650,-4550,-3650,-4150,-4950,-4150,-4150,-3700,-4250,-4550,-3900,-4150
-5150,-1750,-5050,-7100,-3500,-6900,-4200,-2150,-4350,-3250,-3250,-1450,-3850,-4650,-4650,-3700,-4150,-4950,-4150,-4150,-3750,-4000,-4600,-3900,-4150
-5150,-1750,-5050,-7100,-3450,-6700,-4200,-2150,-4350,-3250,-3300,-1450,-3850,-5350,-4650,-3700,-5400,-4950,-4200,-4150,-3750,-4000,-4600,-3950,-4550
-5150,-1550,-5300,-7400,-3450,-6700,-4200,-2200,-4300,-3300,-3300,-1150,-3850,-5350,-4100,-3800,-5400,-5000,-4200,-4200,-3750,-4000,-4600,-3950,-4550
-5150,-1550,-5450,-7400,-4200,-6650,-4200,-2200,-4300,-3300,-3350,-1150,-3850,-3100,-4100,-3800,-5450,-5000,-4200,-4200,-3750,-4000,-4600,-4700,-4500
-5150,-1550,-5250,-7400,-4200,-6650,-4250,-2250,-4250,-3400,-3350,-1100,-3850,-3100,-4150,-3750,-5450,-5000,-4200,-4200,-3800,-4000,-4600,-4700,-4500
-5200,-1550,-5250,-7400,-3950,-5850,-4250,-2250,-4250,-3400,-3400,-1100,-3850,-3050,-4150,-3750,-5850,-5000,-4200,-4200,-3800,-4000,-4350,-4700,-4100
-5200,-1800,-5700,-7450,-3950,-5850,-4300,-1600,-4200,-4300,-3400,-1050,-3850,-3050,-4200,-3850,-5850,-5000,-3650,-4200,-3800,-4000,-4350,-4700,-4100
-5200,-1800,-5700,-7450,-4700,-5300,-4300,-1600,-4200,-4300,-3450,-1050,-3900,-3000,-4200,-3850,-4600,-5000,-3650,-3650,-3800,-4050,-4350,-4700,-4050
-5200,-1800,-5700,-7600,-4700,-5300,-4350,-1650,-4150,-3550,-3450,-1900,-3900,-3000,-6000,-3900,-4600,-4650,-3700,-3650,-3850,-4050,-4400,-4700,-4050
-5200,-1800,-5700,-7600,-4650,-5300,-4350,-1650,-4150,-3550,-3500,-1900,-3900,-2950,-6000,-3900,-4550,-4650,-3700,-3650,-3850,-4050,-4400,-4750,-4000
-5250,-1500,-5700,-7550,-4650,-5300,-3550,-1700,-4100,-3500,-3500,-1850,-3900,-2950,-6050,-3450,-4550,-4650,-3750,-3650,-3850,-4050,-4400,-4750,-4000
-5250,-1500,-5700,-7550,-4600,-5350,-3550,-1700,-4100,-3500,-2850,-1850,-3900,-8550,-6050,-3450,-4500,-4650,-3750,-3700,-3850,-4050,-4450,-4750,-3950
-5250,-1500,-5700,-7200,-4600,-5350,-3500,-1750,-4050,-3450,-2850,-1800,-3900,-8550,-5550,-3500,-4500,-4650,-3800,-3700,-3900,-4050,-4450,-4750,-3950
-5250,-1500,-5700,-7200,-4550,-5800,-3500,-1750,-4050,-3450,-2900,-1800,-3650,-8500,-5550,-3500,-5300,-4550,-3800,-3700,-3900,-4050,-4450,-4800,-4250
-5250,-1450,-5750,-6450,-4550,-5800,-3450,-1800,-5600,-3600,-2900,-2050,-3650,-8500,-5600,-3550,-5300,-4550,-3850,-3700,-3900,-4100,-4500,-4800,-4250
-5300,-1450,-5750,-6450,-4500,-5750,-3450,-1800,-5600,-3600,-2950,-2050,-3700,-8450,-5600,-3550,-4450,-4550,-3850,-3750,-3900,-4100,-4500,-5400,-4250
-5300,-1450,-5750,-6400,-4500,-5750,-3400,-1850,-5550,-3650,-2950,-2150,-3700,-8450,-5650,-4500,-4450,-4550,-3900,-3750,-3900,-4100,-4500,-5400,-4250
-5300,-1450,-5750,-6400,-4450,-5750,-3400,-1850,-5550,-3650,-3000,-2150,-2250,-8400,-5650,-4500,-5350,-4550,-3900,-3750,-3900,-4150,-4300,-5450,-4450
-5300,-3800,-5750,-6350,-4450,-5750,-3350,-1900,-5550,-4050,-3000,-2100,-2250,-8400,-3550,-4950,-5350,-4550,-3900,-3750,-3900,-4150,-4300,-5450,-4450
-5300,-3800,-5750,-6350,-4400,-5600,-3350,-1900,-5550,-4050,-3050,-2100,-2200,-5550,-3550,-4950,-4400,-4600,-3900,-3800,-3950,-4150,-4300,-5050,-4450
-5350,-3800,-5750,-6000,-4400,-5600,-3250,-1250,-5650,-3250,-3050,-2250,-2200,-5550,-3500,-5000,-4400,-4600,-3900,-3800,-3950,-4200,-4250,-5050,-4450
